,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Air Force,1957,2024,68,791,432,347,12,.554,30,16,13,1,.550,1.20,-0.90,7,3,
2,Akron,1975,2024,39,449,161,285,3,.362,3,1,2,0,.333,-12.05,-6.49,0,1,
3,Alabama,1902,2024,121,1345,988,315,42,.750,78,46,29,3,.609,13.87,4.30,62,30,record adjusted to 959-324-41 by NCAA
4,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
5,Alcorn State,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,
6,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
7,Amherst,1877,1906,25,239,108,109,22,.498,0,0,0,0,,-1.08,-0.09,0,0,
8,Appalachian State,1972,2024,21,251,149,97,5,.604,8,7,1,0,.875,-1.08,-5.94,1,4,
9,Arizona,1931,2024,91,998,510,464,23,.523,21,10,10,1,.500,1.34,0.69,8,6,
10,Arizona State,1931,2024,91,1011,603,384,18,.609,34,15,18,1,.456,3.48,-1.15,18,18,record adjusted to 598-389-18 by NCAA
11,Arkansas,1906,2024,119,1274,713,522,37,.575,45,18,24,3,.433,6.42,3.10,29,14,record adjusted to 714-521-37 by NCAA
12,Arkansas State,1974,2024,43,505,224,279,2,.446,12,5,7,0,.417,-8.97,-6.50,0,7,record adjusted to 214-279-2 by NCAA
13,Army,1891,2024,131,1317,725,540,51,.570,11,8,3,0,.727,3.32,-0.35,16,1,
14,Auburn,1902,2024,122,1292,778,468,43,.620,47,24,21,2,.532,8.81,4.58,40,8,record adjusted to 781-466-42 by NCAA
15,Ball State,1975,2024,50,576,276,296,4,.483,9,1,8,0,.111,-7.98,-6.99,1,6,
16,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-0.94,-1.28,0,0,
17,Baylor,1903,2024,119,1267,626,598,41,.511,28,14,14,0,.500,2.82,2.69,16,9,record adjusted to 626-598-40 by NCAA
18,Beloit,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.30,-1.39,0,0,
19,Birmingham-Southern,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,
20,Boise State,1996,2024,29,370,283,87,0,.765,22,13,9,0,.591,6.12,-3.95,14,16,record adjusted to 284-86-0 by NCAA
21,Boston College,1901,2024,90,980,535,429,14,.554,29,15,14,0,.517,1.82,0.04,14,1,
22,Boston University,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,
23,Bowdoin,1896,1905,7,66,33,30,3,.523,0,0,0,0,,-2.71,-2.47,0,0,
24,Bowling Green,1962,2024,63,710,379,320,11,.542,15,5,10,0,.333,-5.30,-6.37,1,9,
25,Bradley,1949,1951,3,29,14,15,0,.483,0,0,0,0,,-12.91,-12.75,0,0,
26,Brown,1878,1981,93,858,431,392,35,.523,1,0,1,0,.000,-2.89,-3.54,0,1,
27,Bucknell,1888,1946,40,357,168,157,32,.515,1,1,0,0,1.000,-2.93,-2.85,0,0,
28,Buffalo,1962,2024,35,397,158,234,4,.404,7,4,3,0,.571,-9.80,-7.05,1,1,
29,Butler,1932,1933,2,15,4,10,1,.300,0,0,0,0,,-16.48,-10.26,0,0,
30,BYU,1922,2024,100,1099,627,445,26,.583,41,18,22,1,.451,-0.59,-3.00,20,23,
31,Cal State Fullerton,1975,1992,18,205,76,127,2,.376,1,0,1,0,.000,-12.72,-7.22,0,2,record adjusted to 79-124-2 by NCAA
32,Cal State Los Angeles,1969,1971,3,29,3,26,0,.103,0,0,0,0,,-27.59,-9.75,0,0,
33,California,1916,2024,109,1185,601,550,31,.522,26,12,13,1,.481,5.16,3.98,14,13,record adjusted to 598-549-31 by NCAA
34,California-Santa Barbara,1969,1971,3,32,11,21,0,.344,0,0,0,0,,-13.35,-7.22,0,0,
35,Camp Grant,1943,1943,1,10,2,6,2,.300,0,0,0,0,,8.98,14.38,0,0,
36,Carlisle,1896,1917,21,252,165,77,10,.675,0,0,0,0,,8.26,0.94,0,0,
37,Carnegie Mellon,1910,1940,20,172,84,75,13,.526,1,0,1,0,.000,4.03,1.50,1,0,
38,Centenary (LA),1930,1941,12,131,69,48,14,.580,1,0,0,1,.500,0.22,-1.79,0,0,
39,Central Michigan,1975,2024,50,580,306,263,11,.537,13,4,9,0,.308,-6.68,-7.63,1,7,
40,Centre,1919,1935,8,74,51,20,3,.709,3,2,1,0,.667,9.14,-0.02,0,0,
41,Charlotte,2015,2024,10,115,37,78,0,.322,1,0,1,0,.000,-13.00,-5.38,0,0,
42,Chattanooga,1909,1981,22,218,105,100,13,.511,0,0,0,0,,-5.92,-6.18,0,3,
43,Chicago,1892,1939,48,466,287,147,32,.650,0,0,0,0,,7.28,2.92,0,7,
44,Cincinnati,1954,2024,71,805,402,389,12,.508,19,8,11,0,.421,-2.18,-2.21,8,10,
45,Clemson,1902,2024,123,1318,788,469,44,.623,51,27,24,0,.529,5.86,1.79,38,24,
46,Coast Guard,1944,1945,2,17,6,10,1,.382,0,0,0,0,,-4.68,-1.10,0,0,
47,Coastal Carolina,2017,2024,8,100,58,42,0,.580,5,2,3,0,.400,-3.38,-4.81,1,1,
48,Coe,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,
49,Colby,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-5.30,1.55,0,0,
50,Colgate,1905,1981,76,670,363,266,41,.572,0,0,0,0,,-0.87,-4.01,0,0,
51,Colorado,1902,2024,123,1238,679,521,35,.564,31,12,19,0,.387,3.89,1.44,20,19,
52,Colorado College,1902,1945,39,296,169,109,18,.601,0,0,0,0,,-1.27,-4.88,1,2,
53,Colorado Mines,1902,1937,36,239,98,128,13,.437,0,0,0,0,,-6.56,-4.56,0,3,
54,Colorado State,1902,2024,117,1168,539,597,31,.475,18,6,12,0,.333,-4.04,-2.99,3,15,record adjusted to 540-596-31 by NCAA
55,Columbia,1870,1981,84,699,282,382,35,.428,1,1,0,0,1.000,-4.55,-1.67,2,1,
56,Connecticut,1979,2024,26,303,122,179,2,.406,8,4,4,0,.500,-6.35,-2.70,0,2,
57,Cornell,1888,1981,93,837,488,317,32,.602,0,0,0,0,,2.20,-2.18,5,1,
58,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
59,Creighton,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
60,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
61,Dartmouth,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.50,-2.81,5,12,
62,Davidson,1902,1973,66,601,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
63,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
64,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
65,Denver,1902,1960,59,520,259,228,33,.530,2,0,2,0,.000,-4.08,-4.86,0,6,
66,Detroit Mercy,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.25,0,3,
67,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.19,-3.54,0,0,
68,Drake,1900,1985,73,666,316,326,24,.492,3,2,1,0,.667,-5.60,-5.70,0,7,
69,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
70,Duke,1922,2024,103,1107,526,552,28,.488,17,8,9,0,.471,2.63,2.67,16,17,
71,Duquesne,1933,1950,14,132,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
72,East Carolina,1965,2024,60,690,352,335,3,.512,18,9,9,0,.500,-2.71,-2.76,2,6,record adjusted to 353-334-3 by NCAA
73,East Tennessee State,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
74,Eastern Michigan,1975,2024,50,569,188,373,7,.337,7,2,5,0,.286,-13.94,-7.28,0,1,
75,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,1911,2024,112,1221,741,441,37,.623,49,25,24,0,.510,8.92,4.32,34,9,
77,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,2004,2024,21,252,108,146,0,.425,5,4,1,0,.800,-7.86,-5.05,0,3,
79,Florida International,2004,2024,21,247,85,162,0,.344,5,2,3,0,.400,-12.53,-6.60,0,1,
80,Florida State,1954,2024,71,846,558,270,16,.671,49,29,18,2,.612,10.64,3.91,35,16,record adjusted to 547-269-16 by NCAA
81,Fordham,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
83,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.27,-3.24,0,0,
86,Fresno State,1969,2024,56,683,392,280,4,.583,27,14,13,0,.519,-1.73,-5.33,4,13,record adjusted to 395-277-4 by NCAA
87,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.82,-2.36,1,0,
90,Georgia,1902,2024,121,1326,866,409,50,.672,63,38,22,3,.627,10.68,4.86,43,15,
91,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,2014,2024,11,139,73,66,0,.525,7,3,4,0,.429,-3.04,-4.15,0,1,
93,Georgia State,2013,2024,12,146,54,92,0,.370,6,4,2,0,.667,-8.98,-3.95,0,0,
94,Georgia Tech,1902,2024,123,1326,757,525,40,.588,47,26,21,0,.553,8.26,4.54,24,8,record adjusted to 756-525-40 by NCAA
95,Gonzaga,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.86,-4.63,0,0,
99,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.22,-2.09,0,5,
103,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.71,-2.12,0,0,
104,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
105,Hawaii,1971,2024,52,638,316,316,6,.500,14,8,6,0,.571,-3.98,-3.37,2,4,
106,Holy Cross,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.94,-4.32,5,0,
107,Houston,1949,2024,76,862,464,382,15,.548,30,13,16,1,.450,3.01,1.17,15,11,record adjusted to 464-382-14 by NCAA
108,Idaho,1917,2017,75,739,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,1892,2024,133,1312,632,627,49,.502,21,9,12,0,.429,5.94,5.20,14,15,
111,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,1899,2024,126,1230,493,692,38,.419,14,3,11,0,.214,2.09,4.56,7,2,record adjusted to 494-691-38 by NCAA
113,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
114,Iowa,1899,2024,126,1266,671,553,34,.547,37,18,18,1,.500,6.86,5.12,27,11,record adjusted to 672-552-34 by NCAA
115,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,1895,2024,127,1277,556,674,45,.454,19,6,13,0,.316,0.40,1.48,4,2,record adjusted to 557-673-45 by NCAA
117,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,Jacksonville State,2023,2024,2,27,18,9,0,.667,2,1,1,,.500,-0.78,-7.09,0,1,
120,James Madison,2022,2024,3,37,28,9,0,.757,2,1,1,,.500,5.40,-4.73,0,0,
121,Kansas,1901,2024,124,1270,552,663,54,.456,14,7,7,0,.500,0.96,2.51,8,5,
122,Kansas State,1912,2024,113,1182,519,628,35,.454,26,12,14,0,.462,0.04,2.01,15,4,record adjusted to 520-628-34 by NCAA
123,Kennesaw State,2024,2024,1,12,2,10,0,.167,,,,,,-20.36,-8.44,0,0,
124,Kent State,1962,2024,63,702,226,469,5,.326,4,1,3,0,.250,-12.57,-6.53,0,1,
125,Kentucky,1915,2024,109,1154,532,586,36,.477,23,12,11,0,.522,3.87,3.99,10,2,record adjusted to 533-585-36 by NCAA
126,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
127,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.07,-2.53,0,0,
128,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
129,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
130,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
131,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-2.98,-2.44,0,0,
132,Liberty,2018,2024,7,88,61,27,0,.693,6,3,3,0,.500,-1.22,-7.45,2,1,
133,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
134,Long Beach State,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
135,Louisiana,1973,2024,52,606,282,319,5,.469,12,7,5,0,.583,-8.05,-5.87,2,6,record adjusted to 260-319-5 by NCAA
136,Louisiana Tech,1975,2024,44,519,258,254,7,.504,14,8,5,1,.607,-4.59,-4.82,0,4,record adjusted to 259-253-7 by NCAA
137,Louisiana-Monroe,1975,2024,38,440,154,284,2,.352,1,0,1,0,.000,-11.46,-5.12,0,1,
138,Louisville,1962,2024,63,732,394,330,7,.544,26,12,13,1,.481,-0.25,-1.62,12,8,record adjusted to 396-328-7 by NCAA
139,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
140,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
141,LSU,1902,2024,120,1296,822,425,47,.653,56,31,24,1,.563,10.02,4.54,44,12,record adjusted to 787-421-47 by NCAA
142,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
143,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-0.56,-0.88,0,0,
144,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
145,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
146,Mare Island Marines,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
147,Marquette,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
148,Marshall,1962,2024,48,563,271,287,3,.486,19,13,6,0,.684,-7.55,-5.90,3,7,
149,Maryland,1917,2024,108,1162,589,542,30,.520,30,14,14,2,.500,2.46,1.86,18,11,
150,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
151,Massachusetts,1882,2024,27,264,73,185,6,.288,0,0,0,0,,-11.48,-3.74,0,0,
152,McNeese State,1975,1981,7,82,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
153,Memphis,1960,2024,65,737,368,360,8,.505,16,8,8,0,.500,-0.76,-1.69,4,5,record adjusted to 369-359-8 by NCAA
154,Mercer,1909,1936,15,138,55,74,9,.431,0,0,0,0,,-3.92,-2.03,0,0,
155,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
156,Miami (FL),1936,2024,88,994,624,356,12,.635,43,19,24,0,.442,8.74,3.54,34,9,
